Year,Month,Day,Hour,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed
2013,1,1,0,0,-20,9.052372783,999.5881958008,10.6805878293,52.4851036072,3.5594623089
2013,1,1,1,0,-20,8.568398689,999.14453125,11.0634018675,56.3228225708,3.6462368965
2013,1,1,2,0,-20,8.057897425,998.8926391602,11.3398198622,57.9632377625,3.6305279732
2013,1,1,3,0,-20,7.5337323194,998.8296508789,11.5910810478,55.7866706848,3.5546693802
2013,1,1,4,0,-20,6.9994231692,998.8679199219,11.8261538042,51.7691497803,3.532166481
2013,1,1,5,0,-5,9.7136495724,991.649597168,34.4589778302,75.3603057861,1.1861059666
2013,1,1,6,0,-5,9.3558383445,992.2065429688,35.2956426764,78.1426391602,1.0006324053
2013,1,1,7,0,-5,9.9068219753,992.9576416016,34.1763897179,83.4281082153,0.7932044268
2013,1,1,8,109,-5,13.0850955173,993.3579711914,27.9236490063,87.1116943359,0.6149503589
2013,1,1,9,303,-5,16.1614962625,994.2150268555,22.8522987454,78.3473892212,0.423294276
2013,1,1,10,464,-5,19.9616066342,994.0579223633,18.1237745289,10.4361190796,0.539167583
2013,1,1,11,567,-5,22.9655327611,993.2940673828,14.0221043885,350.0964050293,1.5119656324
2013,1,1,12,618,-6,24.2506721019,992.2955322266,12.5390480144,349.3183288574,1.8528962135
2013,1,1,13,616,-6,24.636392841,991.0845336914,11.9583126047,352.4812927246,2.0506489277
2013,1,1,14,559,-7,24.1159765897,990.6735839844,12.0629536761,355.489074707,2.107152462
2013,1,1,15,406,-7,22.7761800671,990.8219604492,12.782535869,0.664642334,2.1361148357
2013,1,1,16,235,-7,20.5050384291,991.0012207031,14.5109065872,10.64868927,2.2304759026
2013,1,1,17,35,-7,17.6235455963,991.62109375,17.8246357427,25.9399871826,2.3612744808
2013,1,1,18,0,-7,16.5727637075,992.4090576172,19.0229808798,41.9265174866,2.5409274101
2013,1,1,19,0,-7,15.7839395863,993.4165649414,20.175268736,57.9011116028,2.7858979702
2013,1,1,20,0,-6,15.0199329909,993.9047241211,21.4589799082,68.6430511475,3.0189213753
2013,1,1,21,0,-6,14.2515087286,994.1226196289,22.8259856486,74.6317214966,3.1665968895
2013,1,1,22,0,-6,13.5270458414,994.1575317383,24.131425508,77.8591461182,3.2602372169
2013,1,1,23,0,-6,12.8139865617,993.9659423828,25.4097166678,79.4926757813,3.2868304253
2013,1,2,0,0,-6,12.151135437,993.7017211914,26.6280713966,79.4918289185,3.3119604588
2013,1,2,1,0,-6,11.5522636068,993.680847168,27.7537831267,77.5679016113,3.3649039268
2013,1,2,2,0,-6,10.9995565174,993.5275268555,28.8377732077,70.9782562256,3.4076220989
2013,1,2,3,0,-6,10.4703094122,993.3184204102,29.8730109717,64.0542449951,3.4032175541
2013,1,2,4,0,-6,10.0051347514,993.2575683594,30.8707424819,60.7287864685,3.3862643242
2013,1,2,5,0,-6,9.5466900057,993.534362793,31.8529910252,58.5535774231,3.3185706139
2013,1,2,6,0,-6,9.0738978061,994.0986328125,32.9797103682,55.3631477356,3.2334685326
2013,1,2,7,0,-6,9.4564027557,994.8254394531,32.2458797917,51.262550354,3.2026445866
2013,1,2,8,108,-6,12.2619400661,995.809753418,26.7294075219,51.1050796509,2.9851310253
2013,1,2,9,297,-6,15.3776061251,996.5439453125,22.1372058983,53.1152153015,2.4507529736
2013,1,2,10,456,-6,19.5654747444,996.7111206055,16.5762975966,53.8968963623,2.6554427147
2013,1,2,11,569,-7,22.4776119241,996.2612304688,13.183340873,55.4251937866,2.4743874073
2013,1,2,12,630,-7,24.0326285173,995.1836547852,11.5803869403,53.2616424561,2.0383205414
2013,1,2,13,619,-7,24.571978912,994.583190918,10.9055286762,50.5350418091,1.6761891842
2013,1,2,14,551,-8,24.1034981509,993.9688110352,10.9571029766,40.4511833191,1.5081436634
2013,1,2,15,410,-8,22.6274326296,993.4808959961,11.7366897192,29.6386680603,1.4898139238
2013,1,2,16,239,-8,20.1818226699,993.5239868164,13.5774115636,19.6318588257,1.6064409018
2013,1,2,17,38,-7,17.2349088428,993.9285888672,17.3370868452,11.7105865479,2.0083348751
2013,1,2,18,0,-8,16.11541713,994.9513549805,17.7641787773,10.7554168701,2.378292799
2013,1,2,19,0,-8,15.2362214663,995.7333374023,18.7881702243,14.443649292,2.6080517769
2013,1,2,20,0,-8,14.4263244835,995.935546875,19.8145414195,21.6977615356,2.6894936562
2013,1,2,21,0,-8,13.6658049422,996.2117919922,20.9159635077,31.4110794067,2.7295532227
2013,1,2,22,0,-8,12.9473305733,995.7801513672,22.0035426455,42.0415229797,2.7844660282
2013,1,2,23,0,-8,12.258701757,995.0797729492,23.100529614,51.4920082092,2.8273968697
2013,1,3,0,0,-8,11.6043438469,994.5562133789,24.1635757525,58.0608596802,2.8387203217
2013,1,3,1,0,-8,10.9848974073,994.267578125,25.2291448019,62.389289856,2.8301460743
2013,1,3,2,0,-8,10.394351753,994.1086425781,26.3021834814,64.3517532349,2.7749180794
2013,1,3,3,0,-8,9.8537090757,993.8471069336,27.3302431022,65.9807662964,2.6204359531
2013,1,3,4,0,-8,9.3559705768,993.6223754883,28.3080386724,69.1210250854,2.374171257
2013,1,3,5,0,-8,8.9171152563,994.1571655273,29.2305151651,73.968132019,2.0552117825
2013,1,3,6,0,-8,8.5322114775,994.7686767578,29.9769822262,80.7116394043,1.7027939558
2013,1,3,7,0,-8,9.1032791545,995.3873901367,29.0142754168,91.0794525146,1.446036458
2013,1,3,8,108,-7,12.2974557,995.7830200195,23.5807442363,108.789970398,1.6066762209
2013,1,3,9,297,-7,15.5475931793,996.3890991211,19.3306673916,121.4035797119,1.7013096809
2013,1,3,10,457,-7,19.7713868549,996.3197631836,14.7182548301,124.3282623291,1.4168498516
2013,1,3,11,570,-8,22.9162825382,995.5760498047,11.4310133374,125.2335128784,0.9384946823
2013,1,3,12,622,-9,24.41558192,994.727722168,9.9698917262,132.2577667236,0.6189795732
2013,1,3,13,641,-9,24.920128705,993.7356567383,9.2678696034,134.5473327637,0.4887334406
2013,1,3,14,533,-10,24.4363187499,993.0296020508,9.1986847654,99.3371124268,0.2093641311
2013,1,3,15,427,-10,22.8970426269,992.7581176758,9.8015908892,18.6235733032,0.4020799398
2013,1,3,16,234,-7,20.1749173674,993.0966186523,14.7726619835,14.4607009888,0.8143780231
2013,1,3,17,35,-9,17.3517156768,993.7352294922,14.7545790941,21.0868453979,1.3130643368
2013,1,3,18,0,-9,16.2473137644,994.2836303711,15.8998406085,31.8100395203,1.744165659
2013,1,3,19,0,-10,15.3940737747,994.7037353516,15.997631443,41.5455436707,2.0858032703
2013,1,3,20,0,-10,14.5948177648,995.2456665039,16.4243293932,51.0044708252,2.3722145557
2013,1,3,21,0,-10,13.8683555065,995.0770874023,17.3755036102,57.9776878357,2.7360062599
2013,1,3,22,0,-10,13.1695566248,995.0573730469,18.513547213,61.3545761108,3.1396403313
2013,1,3,23,0,-10,12.4910740995,994.708984375,19.7548079162,63.0927391052,3.5280132294
2013,1,4,0,0,-9,11.8602539311,994.5632324219,20.9480309162,65.6974411011,3.8876738548
2013,1,4,1,0,-9,11.2284266826,994.1175537109,22.0244608423,67.9234848022,4.2009277344
2013,1,4,2,0,-9,10.5465894785,993.9331054688,23.0751234021,65.4095153809,4.2166891098
2013,1,4,3,0,-9,9.8352481937,993.8784179688,24.1574477697,61.2417182922,4.083688736
2013,1,4,4,0,-9,9.2192255121,993.6875610352,25.1026817976,59.5782089233,3.9408500195
2013,1,4,5,0,-9,8.711222821,993.7421875,25.9032717361,60.2665863037,3.7358453274
2013,1,4,6,0,-9,8.5531905508,994.2494506836,26.1419129376,61.5062255859,3.5028090477
2013,1,4,7,0,-9,9.13034471,995.1599731445,25.1911042349,62.03956604,3.200057745
2013,1,4,8,112,-9,11.5132593765,995.9439697266,21.5704239042,70.7138214111,2.7823717594
2013,1,4,9,268,-9,14.5735383259,996.8762207031,18.2416509468,81.1483306885,2.260818243
2013,1,4,10,472,-9,18.9254515732,996.6664428711,14.1425103043,83.1495742798,1.9476418495
2013,1,4,11,571,-9,22.2336508198,995.8308105469,11.0342590018,76.9957885742,1.9371922016
2013,1,4,12,625,-9,23.5766915084,994.5078735352,9.9206936132,74.6753005981,1.6928333044
2013,1,4,13,637,-10,23.915596587,993.2578125,9.4409467242,70.4153594971,1.6792119741
2013,1,4,14,548,-10,23.2732169954,992.4127807617,9.5117172993,56.0069999695,1.8623259068
2013,1,4,15,409,-11,21.8055897452,992.4273071289,10.1010408287,43.4894523621,2.2189118862
2013,1,4,16,248,-11,19.5881012709,993.1153564453,11.3719962045,36.0087738037,2.6751894951
2013,1,4,17,43,-10,16.6710018022,994.2810668945,14.1344774019,30.5088768005,3.3571219444
2013,1,4,18,0,-10,15.5099531688,995.1953125,15.1522276276,32.9096031189,4.0356345177
2013,1,4,19,0,-10,14.5910406623,995.7803955078,16.0637512779,38.1025886536,4.4895682335
2013,1,4,20,0,-11,13.6751253084,996.0352783203,16.912404997,42.49426651,4.6068558693
2013,1,4,21,0,-11,12.8566599551,995.5952148438,17.398981607,46.0780677795,4.6284608841
2013,1,4,22,0,-11,12.0850731256,995.0134277344,17.6616587166,49.5479164124,4.5761613846
2013,1,4,23,0,-12,11.356210252,994.4213256836,17.8811425981,51.6817855835,4.4035758972
2013,1,5,0,0,-12,10.697937737,994.362487793,18.1262832815,51.9147415161,4.1851968765
2013,1,5,1,0,-12,10.1194735029,994.080078125,18.3282127029,51.1802978516,4.0015764236
2013,1,5,2,0,-13,9.5910616209,993.8323364258,18.4062018028,47.2206802368,3.9241452217
2013,1,5,3,0,-13,9.0670327044,993.518737793,18.3301906035,42.8429336548,3.8700158596
2013,1,5,4,0,-14,8.5511092529,993.4521484375,18.0321287606,39.1488037109,3.8296060562
2013,1,5,5,0,-15,8.0736954442,993.5117797852,17.7314089038,37.0935287476,3.7755577564
2013,1,5,6,0,-15,7.6041262617,994.0490112305,17.6744793758,35.113079071,3.7296276093
2013,1,5,7,0,-15,8.0502556095,994.5556640625,17.0721887517,32.5732879639,3.6475760937
2013,1,5,8,107,-15,10.9182320401,995.1445922852,14.2078235172,37.6315841675,3.2919569016
2013,1,5,9,296,-15,14.1210740018,995.7706298828,11.7810514814,46.8427047729,2.7403628826
2013,1,5,10,458,-15,18.4969817355,995.489440918,8.8189545322,50.0409088135,2.8420739174
2013,1,5,11,582,-15,21.4302541441,994.4970092773,7.1255083531,50.0056915283,2.8653805256
2013,1,5,12,637,-15,22.6961255731,993.3828735352,6.6172086782,51.1024551392,2.6541719437
2013,1,5,13,618,-15,23.046179877,992.2431030273,6.4441555846,53.0306854248,2.5612268448
2013,1,5,14,553,-15,22.585159818,991.6466674805,6.6040286876,53.2245979309,2.4277222157
2013,1,5,15,413,-15,21.2595157398,991.3916015625,7.1000601322,52.89503479,2.2947218418
2013,1,5,16,243,-15,18.9694920717,992.0059814453,8.2905298553,50.5015678406,2.2906806469
2013,1,5,17,40,-14,15.9563081774,992.1332397461,11.1368123148,53.6708374023,2.4341170788
2013,1,5,18,0,-14,14.8879035293,992.7177734375,11.7493448851,61.0361709595,2.6173188686
2013,1,5,19,0,-14,14.0825905881,992.9633178711,12.295845967,67.7720108032,2.7538228035
