Year,Month,Day,Hour,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed
2010,1,1,0,0,-7,11.61216222,993.2672729492,25.6635441351,43.4801635742,1.2751059532
2010,1,1,1,0,-7,11.0335373689,993.0486450195,27.0460934135,43.1481590271,1.2081223726
2010,1,1,2,0,-7,10.4938638617,992.9415283203,27.5078128063,42.6608390808,1.269379735
2010,1,1,3,0,-7,9.9850966278,992.7650756836,29.53540863,45.2029647827,1.3543525934
2010,1,1,4,0,-7,9.5121570306,992.724609375,29.1050143807,51.0335540771,1.378690958
2010,1,1,5,0,-7,12.3392301205,993.8471679688,25.278291885,66.18724823,1.8013564348
2010,1,1,6,0,-7,12.0073427694,994.2958374023,25.6386541558,83.9492645264,2.1100301743
2010,1,1,7,0,-7,12.602679635,994.9760131836,24.4531399949,97.8857269287,2.4051527977
2010,1,1,8,116,-7,15.8240120551,995.6492919922,19.6736630702,107.326751709,2.5194861889
2010,1,1,9,310,-7,19.1830484578,996.5616455078,15.9547556944,112.6321563721,2.0673284531
2010,1,1,10,475,-6,23.3985009391,996.6292724609,12.9192288914,118.189239502,1.4772845507
2010,1,1,11,590,-4,27.1633874549,995.7440185547,12.2704527461,158.3700866699,1.2936242819
2010,1,1,12,644,-3,28.4740162207,994.8243408203,12.3813145096,183.5816192627,1.199986577
2010,1,1,13,627,-2,28.7990569952,993.87890625,12.56434892,199.5525665283,1.0550336838
2010,1,1,14,554,-2,28.2306899084,993.2040405273,13.1781065612,213.7122497559,0.7055517435
2010,1,1,15,421,-2,26.7556854208,992.7423706055,14.4175701004,251.6137237549,0.1831935942
2010,1,1,16,243,0,24.0391968903,992.7907104492,20.467084527,9.016166687,0.6122672558
2010,1,1,17,36,-2,21.4300245992,992.7720947266,20.090420687,12.0110473633,1.5239812136
2010,1,1,18,0,-3,20.3881933881,993.3637084961,20.3316071409,18.6834030151,2.3616700172
2010,1,1,19,0,-3,19.5686991009,993.5289916992,20.5689896028,24.5483169556,3.0193378925
2010,1,1,20,0,-4,18.7590086724,993.8727416992,20.9376255666,30.7531204224,3.5116586685
2010,1,1,21,0,-4,17.9810192686,994.2642211914,21.4852753077,37.1279067993,3.8746101856
2010,1,1,22,0,-4,17.2084851335,994.1256713867,22.2043881615,43.1269264221,4.1470265388
2010,1,1,23,0,-4,16.4451968475,993.9696044922,22.8360415481,48.4086456299,4.3510875702
2010,1,2,0,0,-5,15.6900718487,993.7581176758,23.4672479309,52.7237358093,4.470925808
2010,1,2,1,0,-5,14.9478866035,993.5748291016,24.1976934852,56.6040649414,4.5091047287
2010,1,2,2,0,-5,14.183445689,993.233581543,25.0938116846,60.4686775208,4.3521556854
2010,1,2,3,0,-5,13.4297842226,992.7860107422,26.2788298845,63.6736907959,4.1313180923
2010,1,2,4,0,-5,12.7880618675,992.7615966797,27.4579537569,65.8249664307,3.9081647396
2010,1,2,5,0,-5,12.2264963404,992.7630004883,28.7561154434,67.7886657715,3.7284400463
2010,1,2,6,0,-5,11.7225919942,993.5276489258,30.3774983508,70.2845687866,3.5810234547
2010,1,2,7,0,-4,12.059458785,993.9607543945,30.749366974,74.4842300415,3.4289591312
2010,1,2,8,116,-4,14.5537821665,994.7392578125,27.1250606055,81.9805374146,2.9478764534
2010,1,2,9,273,-3,17.958450949,995.447265625,22.9222566234,89.1275863647,2.2563185692
2010,1,2,10,433,-2,22.2019984996,995.3366699219,18.6787220123,96.9230041504,1.851598978
2010,1,2,11,315,-1,26.2549836665,994.7952880859,15.6650738838,127.9630584717,1.3171317577
2010,1,2,12,274,-1,28.4141686283,994.0313720703,14.3952223381,188.7817687988,1.111374855
2010,1,2,13,450,0,28.9020731625,993.5243530273,14.6573735635,227.6076507568,1.5226972103
2010,1,2,14,212,0,28.344182945,993.3231811523,15.8785719682,250.1830444336,1.6869264841
2010,1,2,15,188,0,26.9348136964,993.409362793,17.6945994903,271.5848999023,1.682261467
2010,1,2,16,171,0,24.7288174216,993.7004394531,20.0197658484,295.9610595703,1.8068273067
2010,1,2,17,33,0,21.9521415048,994.1141967773,23.4186761061,319.2108764648,2.440101862
2010,1,2,18,0,0,20.9245478311,995.0669555664,23.6105885997,334.7015991211,2.9870102406
2010,1,2,19,0,-1,20.2322726213,995.6393432617,23.7601730637,345.9476928711,3.2939090729
2010,1,2,20,0,-1,19.5348887884,995.8474121094,24.1712109986,353.7807617188,3.2941718102
2010,1,2,21,0,-1,18.8081277969,995.7883300781,25.1718262419,359.6725158691,3.0635855198
2010,1,2,22,0,-1,18.1603295585,995.6555786133,26.5200472954,2.5401763916,2.6940743923
2010,1,2,23,0,-1,17.5726657003,995.2674560547,27.9476283554,3.073097229,2.2292685509
2010,1,3,0,0,-1,17.0562986165,994.9571533203,29.0991981377,1.4288330078,1.7413511276
2010,1,3,1,0,-1,16.5922611625,994.7095336914,29.8148302709,352.6652526855,1.3005601168
2010,1,3,2,0,-1,16.3011397632,994.3304443359,29.9446191422,319.9586791992,0.9735927582
2010,1,3,3,0,-1,15.7398800023,994.3629760742,29.9710756485,283.5026855469,1.3572975397
2010,1,3,4,0,-2,15.1365429395,994.3595581055,29.5861554495,272.8138122559,2.0825581551
2010,1,3,5,0,-3,14.5099424927,994.8610839844,28.7835531369,271.5158996582,2.6591746807
2010,1,3,6,0,-4,13.8077497085,995.3821411133,28.3510243322,273.1910095215,3.0304207802
2010,1,3,7,0,-4,13.9422008341,995.9395751953,27.0887601345,277.2905883789,3.2850291729
2010,1,3,8,109,-4,16.1712193429,997.0057373047,23.7124123978,287.9834594727,2.9621043205
2010,1,3,9,289,-4,19.0355013567,997.4782714844,20.6489641156,302.4624328613,2.5067105293
2010,1,3,10,479,-4,22.9742644438,997.2764892578,15.9083377475,314.0609130859,2.8913800716
2010,1,3,11,603,-4,25.5292987328,996.8311767578,13.3303322919,322.5484313965,3.2939043045
2010,1,3,12,664,-4,26.7036649848,995.7631835938,12.4813906605,331.0693359375,3.2228541374
2010,1,3,13,655,-4,26.9940330059,994.8419189453,12.3352356022,338.1200256348,3.100451231
2010,1,3,14,577,-4,26.4399031772,994.1397705078,12.9035015876,340.4588623047,3.1915605068
2010,1,3,15,430,-4,25.1233054752,994.610534668,14.0087747017,343.0745544434,3.4616417885
2010,1,3,16,231,-4,23.1353528456,994.9688110352,15.7974854064,348.569152832,3.6811852455
2010,1,3,17,49,-4,20.4710911775,995.6526489258,18.4957664529,356.3974609375,3.8130142689
2010,1,3,18,0,-4,19.2894656757,996.5213623047,19.7588146347,5.9275894165,4.0880250931
2010,1,3,19,0,-4,18.4485085374,997.2536621094,20.6037100953,15.5001144409,4.2392144203
2010,1,3,20,0,-4,17.6713177093,997.5919189453,21.4212791594,23.7851791382,4.1352415085
2010,1,3,21,0,-4,16.8955830361,997.5283203125,22.3573457335,31.5548171997,3.862780571
2010,1,3,22,0,-4,16.166120389,997.1438598633,23.3606649875,37.9151878357,3.5492997169
2010,1,3,23,0,-4,15.5043091126,996.82421875,24.4465641911,42.8457145691,3.1357791424
2010,1,4,0,0,-4,14.8846349038,996.4724121094,25.7315113767,46.6737937927,2.699368
2010,1,4,1,0,-4,14.3185418462,996.4581298828,27.3343119265,49.5586242676,2.3998534679
2010,1,4,2,0,-3,13.7698364304,996.3842163086,29.5691554337,55.039226532,2.2880179882
2010,1,4,3,0,-2,13.2299438599,996.4033203125,32.7596291959,62.7845077515,2.2568662167
2010,1,4,4,0,-1,12.7140763353,996.4481201172,37.0850682701,73.1926574707,2.22301507
2010,1,4,5,0,0,12.2227671061,996.8056030273,43.4221736845,85.8482818604,2.1825575829
2010,1,4,6,0,2,11.7911011139,997.5809936523,51.8736294761,99.1863861084,2.1141533852
2010,1,4,7,0,4,12.2328243974,998.0872192383,57.9510807691,112.2472229004,1.9838125706
2010,1,4,8,116,5,15.0416365993,999.1088256836,53.7922117849,118.3189544678,1.6324596405
2010,1,4,9,309,6,18.4591944282,999.6868286133,46.2803985184,111.3168945313,0.9810103178
2010,1,4,10,481,5,23.0808227806,999.8604736328,32.4263907143,59.3183135986,0.9587088823
2010,1,4,11,604,3,25.7201547819,998.8989868164,24.5130337305,36.7844963074,1.4670416117
2010,1,4,12,663,3,26.7306679227,997.8705444336,22.5466812173,27.652469635,1.6528623104
2010,1,4,13,654,3,26.8588195923,996.6625366211,22.1404073634,24.288520813,1.7919106483
2010,1,4,14,576,3,26.2724089049,995.6708984375,22.6741599482,24.8366470337,1.8739426136
2010,1,4,15,437,3,24.9765862623,994.983581543,24.3724861294,27.5953292847,1.8975520134
2010,1,4,16,255,3,22.9709706938,995.1052246094,27.5844639363,29.9407615662,1.8893624544
2010,1,4,17,52,3,20.3460056913,995.1677856445,33.3163473585,29.5311126709,2.0190358162
2010,1,4,18,0,3,19.3349519316,995.6223754883,35.9102644605,31.4928894043,2.1703803539
2010,1,4,19,0,4,18.5751872837,996.2467041016,38.1655215855,34.2591018677,2.1923356056
2010,1,4,20,0,4,17.8598112571,996.8306884766,40.5088855474,41.1306037903,2.115115881
2010,1,4,21,0,4,17.1772943113,996.8903198242,42.884021684,51.2805862427,1.9640995264
2010,1,4,22,0,4,16.5253010396,996.5509033203,45.2918059702,64.0802154541,1.7420572042
2010,1,4,23,0,4,15.9245474245,995.8896484375,47.4593650018,79.9011077881,1.4872962236
2010,1,5,0,0,4,15.3963491781,995.2500610352,49.5016654208,100.3990020752,1.2594190836
2010,1,5,1,0,4,14.8916401433,994.7210083008,51.417421002,123.3234710693,1.1946063042
2010,1,5,2,0,5,14.4141389719,994.2031860352,53.3171953034,146.2510375977,0.8115615249
2010,1,5,3,0,5,13.9350958591,993.6463623047,55.2180476997,202.3401184082,0.5237493515
2010,1,5,4,0,5,13.4574783792,993.2212524414,57.0361827684,245.8303985596,0.8384014368
2010,1,5,5,0,5,12.9670740383,993.4220581055,58.9263344244,258.5606689453,1.2560846806
2010,1,5,6,0,5,12.4965703565,993.7582397461,60.6456387555,266.1968383789,1.5942839384
2010,1,5,7,0,4,12.9062244353,994.2835693359,58.6429072845,270.1924438477,1.8244506121
2010,1,5,8,117,4,15.7679142133,994.8673706055,48.0977863271,256.0692443848,1.7141801119
2010,1,5,9,317,4,19.0135870883,995.2653808594,38.732436561,236.6295013428,1.6725457907
2010,1,5,10,483,2,23.2470513582,995.2036743164,25.1763108839,241.2076568604,2.1505479813
2010,1,5,11,604,0,25.8545559607,994.8518676758,17.38075844,247.7569274902,2.6444838047
2010,1,5,12,664,-1,26.9972266492,993.91796875,15.3619590767,248.6639556885,2.8138091564
2010,1,5,13,641,-1,27.341389478,992.9805908203,14.6049907603,248.0207824707,2.7992987633
2010,1,5,14,578,-2,26.9449574869,992.4848022461,14.6843685829,250.65234375,2.4963243008
2010,1,5,15,439,-2,25.7275127075,992.2731323242,15.5757326448,254.1607055664,2.0500061512
2010,1,5,16,261,-2,23.4780244333,992.4420166016,17.8255699123,257.0872802734,1.6239097118
2010,1,5,17,48,0,20.5112577963,992.7038574219,24.6969141086,259.6271972656,1.2888259888
2010,1,5,18,0,-1,19.5876284885,993.3151245117,23.2877309566,260.0542907715,0.9161685109
2010,1,5,19,0,-1,18.8122089619,993.7352905273,24.6677497888,258.7476806641,0.5453864336
2010,1,5,20,0,-1,18.0997089653,993.7640380859,25.9316827406,244.3782043457,0.2317312658
2010,1,5,21,0,-1,17.3903294778,993.9395751953,27.1729069878,155.7610168457,0.2071089
2010,1,5,22,0,-1,16.7429151247,993.6214599609,28.383257918,136.208694458,0.4781725407
2010,1,5,23,0,-1,16.1056476971,993.4440307617,29.6044329286,135.7401428223,0.7103936076
2010,1,6,0,0,-1,15.4916118626,992.8331298828,30.8232063466,138.2651672363,0.841117084
2010,1,6,1,0,-1,14.9400766627,992.6850585938,31.9462540267,138.016418457,0.9203654528
2010,1,6,2,0,-1,14.4278015232,992.5555419922,33.0302424116,136.1671295166,1.0334062576
2010,1,6,3,0,-1,13.938009484,992.2752075195,34.0613003635,135.2349700928,1.2021950483
2010,1,6,4,0,-1,13.4922099804,992.3831787109,35.0404818365,136.8963317871,1.4365956783
2010,1,6,5,0,-1,13.0866933627,992.5985107422,36.0395254879,139.9325866699,1.744218111
2010,1,6,6,0,-1,12.7299676113,993.03125,36.9583016311,143.6753540039,2.0977625847
2010,1,6,7,0,-1,13.3264134147,993.7082519531,35.7117379386,148.5759277344,2.5086665154
2010,1,6,8,117,-1,16.4917473776,994.5974121094,29.2632915451,148.3884887695,2.684015274
2010,1,6,9,313,-1,19.7815442369,995.126953125,24.0931642404,143.1208953857,2.314817667
2010,1,6,10,477,-1,23.9084747763,995.1960449219,19.0251544052,140.2911834717,1.8673379421
2010,1,6,11,597,-1,26.9911303286,994.3381958008,15.3409081689,146.6985168457,1.3727830648
2010,1,6,12,656,-2,28.1998054114,993.1223754883,13.7295094577,124.7117919922,1.1041362286
2010,1,6,13,644,-2,28.4158104454,992.3620605469,13.0664908102,96.8584136963,1.2184047699
2010,1,6,14,563,-3,27.7635890746,991.7644042969,13.1363012101,84.1198577881,1.2682989836
2010,1,6,15,433,-3,26.2903301556,991.7093505859,13.9973859275,77.3205032349,1.0990757942
2010,1,6,16,255,-3,23.8147116791,991.9876098633,16.3158217307,71.5110473633,0.9533146024
2010,1,6,17,45,0,20.7255281763,992.3907470703,26.2775838016,61.2097053528,0.9668774605
2010,1,6,18,0,-3,19.8620364723,993.13671875,20.7795389868,54.6182136536,1.1545585394
2010,1,6,19,0,-3,19.0269235857,993.7467041016,21.9228114144,52.6682357788,1.450056076
2010,1,6,20,0,-3,18.2529146067,993.9805297852,23.0076692992,53.8940658569,1.9373728037
2010,1,6,21,0,-3,17.5035631919,993.9498901367,23.9866338601,58.0770645142,2.512437582
2010,1,6,22,0,-3,16.8072224221,993.6900634766,24.8893852126,62.5257873535,3.0446105003
2010,1,6,23,0,-3,16.0809654362,993.3034667969,25.9097704561,66.3288345337,3.4549880028
2010,1,7,0,0,-3,15.4051462908,992.7277832031,26.848907891,69.7249145508,3.7140300274
2010,1,7,1,0,-3,14.7629202601,992.5531005859,27.7764054797,72.5910186768,3.8431289196
2010,1,7,2,0,-3,14.1005898842,992.4408569336,29.0047960916,77.7349777222,3.7790482044
2010,1,7,3,0,-3,13.4819841248,992.3436279297,30.2850249018,83.4890060425,3.5942409039
2010,1,7,4,0,-3,12.9538703582,992.6035766602,31.4902052512,88.6838302612,3.3904483318
2010,1,7,5,0,-3,12.483472409,993.0501098633,32.6698488095,93.7256774902,3.2641649246
