Year,Month,Day,Hour,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed
2011,1,1,0,0,-2,11.8198576529,997.0018310547,35.6159024659,18.2912902832,4.3373842239
2011,1,1,1,0,-2,11.2920673729,996.6813964844,36.8757402197,19.039024353,4.5837688446
2011,1,1,2,0,-2,10.7443327283,996.2965698242,38.4261069938,17.1819915771,4.6112518311
2011,1,1,3,0,-3,10.2216642489,995.7656860352,39.3883985417,14.3407516479,4.5680208206
2011,1,1,4,0,-3,9.7050954293,995.5819091797,39.3647641574,13.1341400146,4.5010004044
2011,1,1,5,0,-7,9.0773181411,992.7631835938,31.0743954454,61.8395500183,1.3006994724
2011,1,1,6,0,-7,8.6896520412,993.6091308594,30.4771589021,77.1962509155,1.162804842
2011,1,1,7,0,-5,9.2193330597,994.3989868164,33.8906432418,92.7696990967,1.0131229162
2011,1,1,8,115,-4,12.3324867635,995.2573852539,29.9293112126,107.7178039551,0.9957336187
2011,1,1,9,313,-4,15.2851970812,995.8919067383,24.8401882117,117.2345809937,0.7999851108
2011,1,1,10,473,-3,18.9927783517,996.3745117188,21.8108529895,93.0062026978,0.3069603145
2011,1,1,11,596,-3,22.5383726979,995.7838745117,16.8442117482,4.0867538452,0.8958393931
2011,1,1,12,642,-3,23.6809238756,994.7061767578,15.7079655772,4.7787857056,1.3178397417
2011,1,1,13,649,-4,23.8863396147,994.0565185547,15.2337383784,8.335975647,1.5496202707
2011,1,1,14,564,-4,23.2789174056,993.5215454102,15.2635106639,9.6445770264,1.7479870319
2011,1,1,15,423,-5,21.9119499334,993.2796630859,15.8844277029,13.5351867676,1.9229074717
2011,1,1,16,253,-3,19.6274316254,993.3480834961,20.1263003503,18.7833862305,2.0118031502
2011,1,1,17,35,-2,16.8355116918,993.8499145508,26.3338133882,24.6728439331,2.084628582
2011,1,1,18,0,-3,15.7761000631,994.5366821289,26.6014324914,33.6737632751,2.0969412327
2011,1,1,19,0,-3,14.9536889232,994.8557739258,28.8622784771,44.2038993835,2.0527095795
2011,1,1,20,0,-3,14.184675829,994.9256591797,28.2222816804,53.8404045105,2.0585594177
2011,1,1,21,0,-3,13.4493583185,994.6513671875,31.8192129437,62.7185974121,2.0371279716
2011,1,1,22,0,-3,12.7346851437,994.0424194336,33.21890172,70.9524917603,1.9644521475
2011,1,1,23,0,-2,12.0586086719,993.1198120117,36.9132847362,77.6398925781,1.8189563751
2011,1,2,0,0,-2,11.4364760276,992.5181884766,38.4137829207,82.8967208862,1.5770568848
2011,1,2,1,0,-1,10.8611615257,992.1370849609,41.449454025,86.2340087891,1.3040058613
2011,1,2,2,0,-2,10.3318174107,992.0322265625,42.0303505992,76.6884002686,1.0280537605
2011,1,2,3,0,-2,9.8328386054,992.1615600586,43.4788234207,58.5135650635,0.8817546964
2011,1,2,4,0,-2,9.3456887311,992.1185913086,43.6513915975,46.1084213257,0.7809788585
2011,1,2,5,0,-2,8.9117011167,992.4986572266,44.0293226435,46.8662948608,0.6072071195
2011,1,2,6,0,-2,8.5099760479,993.3392944336,45.4670489172,71.1752929688,0.3552084863
2011,1,2,7,0,-1,9.0429115256,993.9224853516,45.9929761712,151.9482574463,0.3169052601
2011,1,2,8,115,-1,12.2753908583,994.7681884766,39.7386111008,164.9108734131,0.869348824
2011,1,2,9,313,-1,15.3489629922,995.4041748047,32.2465118043,162.7440490723,1.198359251
2011,1,2,10,481,0,19.0772297383,995.5614013672,26.2667746918,165.679901123,1.0690344572
2011,1,2,11,579,-2,22.5365004488,995.0031738281,18.016354254,187.8304138184,0.6112279892
2011,1,2,12,644,-3,23.9139165195,993.8543701172,15.7725166785,191.519744873,0.3339031041
2011,1,2,13,632,-4,24.3229931307,993.0849609375,14.6744113667,139.4347229004,0.15834333
2011,1,2,14,568,-5,23.8303790277,992.8643798828,14.2684680809,90.6667404175,0.1446342021
2011,1,2,15,427,-5,22.4036440209,992.5759277344,14.7175690825,58.5595855713,0.2176298052
2011,1,2,16,239,0,19.6949836974,992.7165527344,27.2022204921,50.2673988342,0.4917881191
2011,1,2,17,38,-1,17.091484778,993.3564453125,28.6624323455,53.4925918579,0.9243302345
2011,1,2,18,0,-2,16.0465606482,994.1444091797,28.262092028,63.9899940491,1.421251297
2011,1,2,19,0,-4,15.2369514632,994.6033935547,25.0083099473,76.9660186768,1.8767591715
2011,1,2,20,0,-4,14.458514859,994.9893798828,26.0249621944,84.0395431519,2.4067940712
2011,1,2,21,0,-4,13.7186794524,995.0645141602,27.1254889644,88.9780883789,2.8383755684
2011,1,2,22,0,-4,13.0070002006,994.7731323242,28.822694011,94.0796356201,3.052541256
2011,1,2,23,0,-3,12.3444429991,994.3787841797,32.5967799803,98.7184066772,3.1224534512
2011,1,3,0,0,-3,11.7159662183,993.9087524414,35.3377025501,102.0016479492,3.1349053383
2011,1,3,1,0,-2,11.1489149049,993.3920898438,38.2620962779,103.1393814087,3.0869894028
2011,1,3,2,0,-2,10.6126796065,993.4776611328,40.1131206562,106.1271820068,2.7742295265
2011,1,3,3,0,-2,10.1365029019,993.4318237305,42.4254473969,109.5046157837,2.4937288761
2011,1,3,4,0,-1,9.694166016,993.5335083008,43.9532681434,111.2744293213,2.3119757175
2011,1,3,5,0,-1,9.2931158769,994.2048339844,45.96743248,112.1027832031,2.1071033478
2011,1,3,6,0,-1,8.9254330205,995.0042114258,47.3332677045,112.8050460815,1.9083678722
2011,1,3,7,0,-1,9.4857177191,995.8267822266,47.1013690117,114.5225906372,1.7748045921
2011,1,3,8,119,0,12.6086197034,996.3973388672,39.9761189552,114.0029830933,1.7738095522
2011,1,3,9,313,0,15.6609525843,997.5568237305,34.4957362289,113.5189208984,1.5413534641
2011,1,3,10,473,0,19.4515683122,997.8130493164,29.0388442752,107.1960144043,1.1353930235
2011,1,3,11,589,0,22.6197447407,996.9854736328,22.8184751335,66.2458953857,0.7588362098
2011,1,3,12,646,0,23.7214942506,995.9811401367,20.1625713533,45.986743927,1.0465517044
2011,1,3,13,645,-1,23.9161360069,994.897644043,18.7855504679,48.1277618408,1.4516103268
2011,1,3,14,571,-2,23.3136958791,994.0617675781,18.4325704194,51.9027633667,1.7433710098
2011,1,3,15,431,-2,21.8957563397,993.5662841797,19.0918178275,57.6314620972,1.9961019754
2011,1,3,16,253,-2,19.6163804126,993.4435424805,22.2428719104,62.8426589966,2.2045025826
2011,1,3,17,41,0,16.7792931522,993.8885498047,30.0595451017,65.2127685547,2.388863802
2011,1,3,18,0,-1,15.6711671181,994.7799682617,31.2253518735,67.7403869629,2.4657306671
2011,1,3,19,0,-1,14.8141792239,995.6229248047,32.7503893983,72.2704772949,2.391502142
2011,1,3,20,0,-1,13.998129857,996.0686645508,35.3185108638,77.4945068359,2.4814374447
2011,1,3,21,0,-1,13.2559879642,996.3471679688,37.2526767273,81.2631225586,2.562857151
2011,1,3,22,0,-1,12.5213826355,996.2012329102,39.1831383832,81.8622283936,2.5266718864
2011,1,3,23,0,-1,11.8500787805,996.0376586914,40.5685182685,77.5215301514,2.4905807972
2011,1,4,0,0,-1,11.2081029737,995.5549926758,42.4156381566,69.7003250122,2.5636999607
2011,1,4,1,0,-1,10.6091264344,995.3471069336,43.9547352852,61.5844039917,2.741559267
2011,1,4,2,0,-1,10.0245773151,994.9542236328,45.997172784,56.1844482422,2.8339018822
2011,1,4,3,0,-1,9.4379112513,995.1685180664,47.6096806684,52.3948898315,2.8954713345
2011,1,4,4,0,-1,8.8910780025,995.318359375,49.6299182467,50.1619415283,2.9861629009
2011,1,4,5,0,-1,8.3819073012,995.7149658203,51.1792774369,49.917930603,3.1047902107
2011,1,4,6,0,-1,7.9025827891,996.0606689453,53.1303234992,52.5517578125,3.180529356
2011,1,4,7,0,-1,8.3152292212,996.7067871094,51.8451337483,58.509147644,3.1590662003
