date,Wind Speed,Temperature,Pressure,Relative Humidity,GHI
2011-01-03 17:00:00,14.7340299831,30,54.6243811009,2.5249643326,14.7340299831
2011-01-03 18:00:00,13.6947714536,0,56.6481392367,2.8486242294,13.6947714536
2011-01-03 19:00:00,12.7812929547,0,58.9435659112,2.9611568451,12.7812929547
2011-01-03 20:00:00,11.8909901729,0,61.5127460609,3.0034110546,11.8909901729
2011-01-03 21:00:00,11.0435496296,0,64.3743902647,2.9279510975,11.0435496296
2011-01-03 22:00:00,10.2372458245,0,67.2445199965,2.7037847042,10.2372458245
2011-01-03 23:00:00,9.5051082311,0,70.1325150553,2.4150781631,9.5051082311
2011-01-04 00:00:00,8.8284174854,0,72.8611526567,2.1935343742,8.8284174854
2011-01-04 01:00:00,8.2150032758,0,75.4285174457,2.0626761913,8.2150032758
2011-01-04 02:00:00,7.6358288806,0,78.5929186634,2.0255935192,7.6358288806
2011-01-04 03:00:00,7.0973923635,0,81.067909961,2.0537111759,7.0973923635
2011-01-04 04:00:00,6.6089797108,0,82.9889231787,2.1802954674,6.6089797108
2011-01-04 05:00:00,6.1397736736,0,84.6069651852,2.429795742,6.1397736736
2011-01-04 06:00:00,5.6967099634,0,86.3544038778,2.6879913807,5.6967099634
2011-01-04 07:00:00,6.7844056347,0,81.1013357789,2.8429851532,6.7844056347
2011-01-04 08:00:00,9.6410747203,162,69.8872997183,2.4612927437,9.6410747203
2011-01-04 09:00:00,13.1200979215,365,58.1197767061,1.9180520773,13.1200979215
2011-01-04 10:00:00,16.6156415072,524,43.8002002048,1.8180297613,16.6156415072
2011-01-04 11:00:00,18.4757088787,635,39.2870544667,1.5830665827,18.4757088787
2011-01-04 12:00:00,19.6411118014,687,37.0624747677,1.39405334,19.6411118014
2011-01-04 13:00:00,20.0981405375,667,35.4138439587,1.2904045582,20.0981405375
2011-01-04 14:00:00,19.7089742037,579,35.9182982225,1.3747118711,19.7089742037
2011-01-04 15:00:00,18.4658633456,428,38.5355595884,1.5369169712,18.4658633456
2011-01-04 16:00:00,16.2351909961,243,50.5659582561,1.7119482756,16.2351909961
