Year,Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Solar Radiation (GHI),Temp
2011,6,21,10,23,36.3579730412,973.4696044922,48.6993598773,244.1529083252,3.4997222424,771,
2011,6,21,11,23,37.0149614273,972.7866210938,46.468222857,244.9915771484,3.153293848,873,
2011,6,21,12,23,37.147891201,972.2631835938,45.8630361122,247.3478240967,2.8755691051,915,
2011,6,21,13,23,36.8756649702,971.6329345703,46.2605410597,251.7587738037,2.5812160969,893,
2011,6,21,14,23,36.5124440733,971.3651123047,47.0030912942,261.5894470215,2.2191898823,810,
2011,6,21,15,23,36.0477637144,970.9895019531,47.9563752079,271.3182983398,1.7884737253,641,
2011,6,21,16,23,35.4766608417,970.8212280273,49.407939331,270.4599609375,1.3772345781,473,
2011,6,21,17,23,34.7405645999,970.5291748047,51.2234727389,251.6785583496,1.2982110977,271,
2011,6,21,18,24,33.9446244575,970.6198120117,57.3261545928,241.2410125732,1.6528550386,83,
2011,6,21,19,24,33.31160602,970.9246826172,58.871591539,237.1217193604,2.1387090683,0,
2011,6,21,20,24,32.9461228028,971.1750488281,59.696627974,232.5582427979,2.5763990879,0,
2011,6,21,21,23,32.4328241757,971.2428588867,58.9084090051,229.4618682861,3.0848617554,0,
2011,6,21,22,22,31.8337418041,970.8819580078,58.9962651119,227.7799987793,3.6732234955,0,
2011,6,21,23,22,31.1397707801,970.4203491211,60.3983557689,227.2869873047,4.1374869347,0,
2011,6,22,0,22,30.3849303546,969.8386230469,63.1350168843,227.6780090332,4.3502311707,0,
2011,6,22,1,22,29.7158839874,969.4747924805,66.9369384764,228.4171295166,4.3576498032,0,
2011,6,22,2,23,29.1182914008,968.9271850586,70.6355926604,228.1341705322,4.3362436295,0,
2011,6,22,3,23,28.6658737863,968.9733276367,73.4355483996,226.7472686768,4.26866436,0,
2011,6,22,4,23,28.3485770453,969.6504516602,75.2777467371,225.3537139893,4.1788835526,0,
2011,6,22,5,23,28.2878565668,969.9813842773,75.8290015343,224.1808624268,4.0861701965,0,
2011,6,22,6,23,29.2621915444,970.5876464844,71.7953138339,224.9431915283,3.9775600433,39,
2011,6,22,7,23,30.9526342035,971.2005004883,64.7299851733,229.3986053467,3.9616940022,216,
2011,6,22,8,23,32.8029318625,971.5740356445,58.9863545735,233.6385803223,3.83274436,409,
2011,6,22,9,24,34.9877467973,971.349609375,53.1295088494,237.53565979,3.608574152,615,
2011,6,22,10,24,36.2854136332,970.9261474609,49.4682291529,241.5598449707,3.319051981,767,
2011,6,22,11,24,36.8696481131,970.5104370117,48.0958668316,243.9878692627,3.0506968498,800,
2011,6,22,12,24,36.8207434186,969.6534423828,48.2624908295,245.5529937744,2.8575530052,910,
2011,6,22,13,24,36.5466465311,969.3088989258,49.3245049977,246.0182952881,2.6269299984,889,
2011,6,22,14,24,35.9994344119,968.9169921875,51.2929930282,250.0568237305,2.2048060894,762,
2011,6,22,15,24,35.3135923846,968.999206543,53.1444038101,251.1469726563,1.8228859901,669,
2011,6,22,16,24,34.5385670315,969.3723144531,54.943431445,243.3218994141,1.6469737291,475,
2011,6,22,17,24,33.7948477513,969.5888671875,57.8562443534,225.4376983643,1.7867205143,278,
2011,6,22,18,24,32.9521923313,969.9124145508,62.8041984331,210.4030609131,2.2405626774,79,
2011,6,22,19,24,32.2367388463,970.4765625,65.4559666207,206.3610839844,2.7772917747,0,
2011,6,22,20,24,31.6603903516,970.8306884766,67.2438115176,205.119354248,3.2632977962,0,
2011,6,22,21,24,31.0558381335,970.7324829102,69.4824507479,207.564956665,3.6356527805,0,
2011,6,22,22,24,30.4481044017,970.3607788086,71.7948185082,213.7208251953,3.9554419518,0,
2011,6,22,23,24,29.8690553769,969.624206543,73.9217143287,220.7239685059,4.2811322212,0,
2011,6,23,0,24,29.3566413715,968.7918701172,75.6893922719,224.7570495605,4.5388970375,0,
2011,6,23,1,24,28.9204277792,968.5790405273,77.0801581629,225.841293335,4.6404833794,0,
2011,6,23,2,24,28.5599398119,968.4055175781,78.5100503523,225.8193969727,4.5947360992,0,
