Year,Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,GHI
2012,1,1,0,-5,10.7961842034,984.3084106445,31.5207931902,67.7886047363,3.1217598915,0
2012,1,1,1,-5,10.2930359626,984.2003173828,32.6969680776,66.9736557007,3.0582623482,0
2012,1,1,2,-5,9.8440704737,983.7933349609,33.539322557,67.3202667236,2.9791882038,0
2012,1,1,3,-5,9.4576025685,983.602722168,34.1668982565,70.372833252,2.9633901119,0
2012,1,1,4,-5,9.1126145866,983.4548950195,34.6583282025,74.8284225464,2.9986228943,0
2012,1,1,5,7,10.5583143453,986.1872558594,82.6792366097,19.8597488403,2.951151371,0
2012,1,1,6,7,10.1478506908,986.6332397461,81.5144446336,17.55443573,3.0141780376,0
2012,1,1,7,6,10.8234299521,987.4004516602,75.6127555108,17.2636566162,3.0052111149,0
2012,1,1,8,6,13.2906187481,987.9567260742,62.5271765206,20.9177322388,2.6764924526,143
2012,1,1,9,6,17.0224891647,988.3819580078,48.2957601092,23.8136138916,2.7567303181,300
2012,1,1,10,6,20.6354302651,987.9358520508,38.8504621219,23.9455947876,3.0495507717,464
2012,1,1,11,6,22.8603373551,986.8540649414,35.0584379078,21.553237915,3.2049276829,579
2012,1,1,12,7,23.9881360869,985.9387207031,34.101649077,16.5771560669,3.25263381,643
2012,1,1,13,7,24.2053443346,985.4183349609,33.8604605866,13.7262496948,3.3762526512,640
2012,1,1,14,6,23.7164132825,984.8815917969,33.8984063692,10.9630432129,3.3917210102,551
2012,1,1,15,6,22.4929473937,984.6116943359,34.5794073655,8.7250747681,3.3885602951,405
2012,1,1,16,6,20.2700903343,984.7899169922,39.495529735,5.3033752441,3.3400952816,215
2012,1,1,17,6,17.5406275134,985.6130371094,47.6268252443,2.483757019,3.5086066723,22
2012,1,1,18,5,16.3248789378,986.1610717773,48.7502912297,3.5728225708,3.6736493111,0
2012,1,1,19,4,15.331071947,986.8395996094,49.1313529587,6.5937652588,3.6631994247,0
2012,1,1,20,4,14.4278841638,987.0606689453,50.0779611438,13.2630844116,3.5778095722,0
2012,1,1,21,3,13.6835792921,987.321472168,51.290918479,20.6533279419,3.4920854568,0
2012,1,1,22,3,13.0189244637,987.4204711914,52.8772716486,26.7578849792,3.383564949,0
2012,1,1,23,3,12.4249092349,987.5837402344,54.5753530792,32.3126983643,3.2786808014,0
2012,1,2,0,3,11.8859717726,987.4321899414,56.4618683539,39.4237670898,3.2089316845,0
2012,1,2,1,3,11.402529221,987.2967529297,58.5733566816,47.3360519409,3.2003679276,0
2012,1,2,2,3,10.946017678,987.384765625,61.7160854413,50.8735656738,3.112408638,0
2012,1,2,3,4,10.5264874318,987.3129272461,64.9133066609,52.4548416138,2.9708266258,0
2012,1,2,4,4,10.1540178287,987.3330078125,68.031387282,55.0938415527,2.8166809082,0
2012,1,2,5,4,9.8189957828,987.7204589844,71.028413309,60.5367889404,2.6579816341,0
2012,1,2,6,5,9.512301638,987.7814331055,74.6048437817,68.6092910767,2.4876976013,0
2012,1,2,7,6,10.6652918168,988.4877319336,77.2822340891,76.6569213867,2.234098196,0
2012,1,2,8,7,13.5960816858,989.4372558594,67.3863122285,84.6934661865,1.857257843,147
2012,1,2,9,8,16.9618332603,990.3171386719,59.0566909231,85.8884048462,1.4862384796,335
2012,1,2,10,8,21.4943488927,990.0634765625,43.2174319436,80.9216308594,1.4620450735,494
2012,1,2,11,8,23.8128894655,989.1420898438,36.9635696862,72.0080413818,1.1844165325,617
2012,1,2,12,7,24.6996288123,988.1485595703,34.3007047524,55.7303657532,1.0274847746,667
2012,1,2,13,7,24.7720730365,987.4937133789,33.2012773561,43.8640823364,1.0478841066,645
2012,1,2,14,7,24.1251591623,986.7849731445,33.5644597856,34.5077171326,1.108418107,555
2012,1,2,15,6,22.6987808907,986.5719604492,35.7783996502,30.925365448,1.2477551699,407
2012,1,2,16,8,20.4241410454,986.4747314453,47.7594973775,25.9689788818,1.5933897495,219
2012,1,2,17,8,17.9511491984,986.7330932617,55.536910807,21.8369827271,2.0935413837,24
2012,1,2,18,8,17.0940606005,987.6549072266,55.4517596033,22.7087402344,2.4603030682,0
2012,1,2,19,7,16.3574964264,988.0757446289,55.2580641284,25.1650619507,2.6705040932,0
2012,1,2,20,6,15.6766492584,988.5437011719,54.9401771753,30.8253326416,2.8856489658,0
2012,1,2,21,6,14.978084423,988.5520629883,55.1724069726,38.4166946411,3.0174982548,0
2012,1,2,22,5,14.2691916008,988.1218261719,56.2263920212,45.5377311707,3.0433623791,0
2012,1,2,23,5,13.5677896358,987.6928100586,57.7884146791,52.1051673889,3.0675694942,0
2012,1,3,0,5,12.8936218931,986.9320068359,59.663602574,60.196182251,3.1322822571,0
2012,1,3,1,5,12.2602881291,986.3181152344,61.9460888862,69.3442993164,3.2432892323,0
2012,1,3,2,5,11.6632578132,985.8718261719,64.6898587507,75.5020370483,3.1840713024,0
2012,1,3,3,5,11.1202436105,985.4808959961,67.4106469873,78.5970993042,3.0051977634,0
2012,1,3,4,5,10.6687641673,985.6102294922,69.5868848764,81.4387741089,2.8674225807,0
2012,1,3,5,5,10.3025283624,986.0347290039,71.267165281,84.642829895,2.762537241,0
2012,1,3,6,5,9.9817194684,986.7746582031,72.7831691912,88.2707214355,2.6426084042,0
2012,1,3,7,6,11.1001951051,987.2838134766,72.5069340054,92.0297775269,2.4784598351,0
2012,1,3,8,6,14.0272470403,988.3345336914,59.3998109824,95.8445663452,2.2197358608,141
2012,1,3,9,6,17.3773429528,989.0092773438,50.3828716186,94.2890625,1.7638394833,335
2012,1,3,10,6,21.6742580456,988.5216674805,36.5487372835,81.7704391479,1.9308795929,494
2012,1,3,11,6,24.0433100081,987.2380371094,31.6925678338,72.6372680664,1.741553545,604
2012,1,3,12,6,25.0008589727,986.1951904297,29.8330598888,64.4766845703,1.6174228191,662
2012,1,3,13,5,25.1824149547,985.1790161133,29.0500321191,59.188331604,1.5882868767,641
2012,1,3,14,5,24.67750461,984.1644287109,29.3861121472,56.6815223694,1.4381158352,552
2012,1,3,15,5,23.3986860775,983.6920166016,31.5285542596,52.5645256042,1.2979108095,397
2012,1,3,16,8,21.1491253408,983.9627075195,45.6829499388,39.090965271,1.4257243872,222
2012,1,3,17,8,18.6794439875,984.4510498047,52.3649642225,32.2511024475,1.8250257969,17
2012,1,3,18,7,17.8005482453,985.2032470703,52.4733211048,35.4542427063,2.1510882378,0
2012,1,3,19,7,17.0569674445,985.4005737305,52.6362124422,43.8502388,2.2940812111,0
2012,1,3,20,6,16.3428246906,985.3809204102,53.1710031851,53.6355018616,2.4026138783,0
2012,1,3,21,6,15.6248147011,985.1534423828,54.2673392167,63.365070343,2.5052170753,0
2012,1,3,22,6,14.9270743914,984.6957397461,55.7026353595,72.2061233521,2.5287497044,0
2012,1,3,23,5,14.2541648825,984.3480834961,57.5240951143,80.2707977295,2.4578051567,0
2012,1,4,0,5,13.6395299697,984.3735961914,59.7422409103,89.1793899536,2.2944464684,0
2012,1,4,1,6,13.0895347333,984.1727905273,62.1780757764,98.4393005371,2.0544676781,0
2012,1,4,2,6,12.6114449915,984.2028808594,64.5383929139,104.5843353271,1.8208209276,0
2012,1,4,3,6,12.1700503026,984.1561279297,66.4590299667,111.7572784424,1.6987987757,0
2012,1,4,4,5,11.7457284639,983.9442138672,67.5306998495,122.5364227295,1.7127211094,0
2012,1,4,5,5,11.3716605796,984.1935424805,68.0707413637,133.2326507568,1.819381237,0
2012,1,4,6,5,11.0553914801,984.3639526367,68.6689531409,141.1126403809,1.8974143267,0
2012,1,4,7,6,12.221540217,984.865234375,69.1085438541,146.909942627,1.9117929935,0
2012,1,4,8,6,15.2673513839,985.1989135742,55.1728104369,151.273223877,1.7880601883,140
2012,1,4,9,6,18.3758436504,985.89453125,45.8851771413,156.002243042,1.4259487391,337
2012,1,4,10,5,22.8367867151,985.6120605469,33.393295032,197.8791503906,1.2810795307,494
2012,1,4,11,5,24.8649359329,984.8295898438,29.3634609654,224.4608459473,1.5881135464,613
2012,1,4,12,5,25.5845433925,983.9004516602,27.4541120359,238.6052856445,1.9920412302,665
2012,1,4,13,5,25.5708329264,983.3352661133,26.7725504656,247.7372283936,2.3087894917,644
2012,1,4,14,4,24.9229303286,982.7731323242,27.0871512689,255.679107666,2.4887413979,555
2012,1,4,15,4,23.5870943072,982.7372436523,28.672391643,261.7327575684,2.5721859932,409
2012,1,4,16,6,21.2630642595,982.7993774414,38.2896326868,268.2080688477,2.5039482117,225
2012,1,4,17,7,18.8172960062,983.2212524414,48.0765326108,272.6603393555,2.4565982819,24
2012,1,4,18,7,17.9732399222,984.1456298828,49.7334131495,275.0205688477,2.3640248775,0
2012,1,4,19,6,17.2734565155,984.6312255859,50.6365222824,277.2590942383,2.2773246765,0
2012,1,4,20,6,16.6201717959,984.9334716797,52.0106524683,277.3693847656,2.113527298,0
2012,1,4,21,6,16.0492679971,985.3388671875,54.0052014023,275.1283569336,1.9305689335,0
2012,1,4,22,6,15.49582121,985.2716674805,56.1177909444,272.1066894531,1.7704796791,0
2012,1,4,23,6,14.9699312693,984.8171386719,57.829384049,269.0550231934,1.6259099245,0
2012,1,5,0,6,14.4833023714,984.3876953125,59.080123427,264.8307495117,1.4901951551,0
2012,1,5,1,6,14.0506764931,984.6460571289,60.4183121889,260.8862304688,1.4216600657,0
2012,1,5,2,6,13.6612995281,984.4498901367,61.5305055387,255.696975708,1.5042386055,0
2012,1,5,3,6,13.3020519338,984.2875366211,61.2928900714,253.7477722168,1.6712427139,0
2012,1,5,4,5,12.9878117594,984.4546508789,61.0006021414,253.2302093506,1.7569212914,0
2012,1,5,5,5,12.7469249535,985.1513671875,62.0976286261,250.547088623,1.7417508364,0
2012,1,5,6,5,12.5302911979,985.6931152344,63.5143811092,245.5052032471,1.6881079674,0
2012,1,5,7,5,13.7465621531,986.4352416992,57.6559408452,240.2392730713,1.6473176479,0
2012,1,5,8,6,16.673620867,987.5873413086,51.1463466109,240.0212554932,1.5575320721,143
2012,1,5,9,6,19.508477636,988.3173828125,43.4861802277,244.121673584,1.3930642605,333
2012,1,5,10,9,23.1866504148,988.2352294922,42.3509657529,261.4407348633,2.1266241074,498
2012,1,5,11,10,24.8184456353,987.1218261719,39.7326322007,264.7490844727,2.3236432076,611
2012,1,5,12,10,25.4908371809,985.9291992188,37.7099972807,267.3463134766,2.4073314667,660
2012,1,5,13,9,25.5422184378,984.8161621094,36.9280861477,270.9081115723,2.4103865623,640
2012,1,5,14,9,24.9783313801,984.2645874023,37.6443002571,276.1283569336,2.3241319656,552
2012,1,5,15,9,23.7302258862,984.1728515625,40.1289335984,282.0791015625,2.2466585636,407
2012,1,5,16,10,21.725044972,984.3395996094,49.8424632219,291.0722045898,2.1255075932,197
2012,1,5,17,11,19.3924603181,984.9075317383,59.8922617679,303.7157897949,2.0543191433,26
2012,1,5,18,10,18.5115544198,985.5589599609,61.5588237242,315.9779968262,2.030823946,0
