Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed
2012,1,1,0,30,0,0,0,-6,10.5430412687,985.5884399414,28.6563320744,141.8880004883,0.8124408126
2012,1,1,1,30,0,0,0,-6,10.0411703602,985.4802856445,29.4908740176,140.7675628662,0.7413698435
2012,1,1,2,30,0,0,0,-7,9.5793446438,985.0733642578,30.1605002864,132.2690124512,0.8416875005
2012,1,1,3,30,0,0,0,-7,9.354226526,984.5626831055,30.2489413259,126.997543335,1.0738199949
2012,1,1,4,30,0,0,0,-7,9.2229025774,984.4149169922,30.2040751293,128.3154449463,1.2764723301
2012,1,1,5,30,0,0,0,-1,10.7655673451,988.4272460938,42.4094661879,15.9214019775,3.8896944523
2012,1,1,6,30,0,0,0,-2,9.997412889,988.8732299805,42.5667213815,16.7117462158,3.8407158852
2012,1,1,7,30,0,0,0,-1,10.4128402384,989.3204345703,41.8908108208,18.3736038208,3.7278327942
2012,1,1,8,30,82,262,132,-1,12.4949061183,989.8767089844,38.3888114876,21.2073287964,3.3164937496
2012,1,1,9,30,143,473,316,0,15.2009351378,990.6219482422,36.1733741881,19.8967056274,2.9147720337
2012,1,1,10,30,175,604,478,1,18.5960027149,990.4958496094,31.421112004,13.9276123047,3.0324831009
2012,1,1,11,30,192,658,581,0,21.248809412,989.7340698242,23.7464626047,11.1717681885,3.6675121784
2012,1,1,12,30,201,690,634,0,22.1679865727,988.8187255859,22.2808135535,6.3273620605,3.7771701813
2012,1,1,13,30,197,680,612,0,22.3306625678,988.2983398438,21.5715081502,4.4935836792,3.8933589458
2012,1,1,14,30,183,633,523,-1,21.8405661713,987.4415893555,21.4208677289,1.5670089722,3.8390705585
2012,1,1,15,30,155,537,379,-1,20.602972093,987.1716918945,22.2263695077,358.114654541,3.6403794289
2012,1,1,16,30,110,324,193,-1,18.4721066114,987.3499145508,25.0431396242,353.9942626953,3.3402242661
2012,1,1,17,30,8,0,8,-2,16.1291042668,987.5330200195,28.3004318165,349.3797912598,3.1451227665
2012,1,1,18,30,0,0,0,-2,15.2213706226,987.7610473633,28.922700494,346.0732116699,2.908249855
2012,1,1,19,30,0,0,0,-3,14.4490872307,988.1195678711,29.268881055,342.8251953125,2.5945053101
2012,1,1,20,30,0,0,0,-3,13.739865322,988.6607055664,29.5006354725,344.9196166992,2.2715437412
2012,1,1,21,30,0,0,0,-4,13.128778907,988.9214477539,29.0478766844,349.6836242676,2.0339343548
2012,1,1,22,30,0,0,0,-2,12.5228238079,988.7004394531,36.1805610103,353.2168579102,1.8486356735
2012,1,1,23,30,0,0,0,-4,11.9455958477,988.8637084961,32.2738547184,358.0726318359,1.6507958174
2012,1,2,0,30,0,0,0,-2,11.4282671365,989.0321655273,37.2037334952,9.3976135254,1.3979567289
2012,1,2,1,30,0,0,0,-4,10.9519077128,988.8967895508,33.7402987202,29.7055625916,1.2057539225
2012,1,2,2,30,0,0,0,-2,10.5005444044,988.6647338867,39.6454632946,37.3077087402,1.1027534008
2012,1,2,3,30,0,0,0,-4,10.0823435439,988.592956543,36.0383890338,34.0104255676,0.9882198572
2012,1,2,4,30,0,0,0,-2,9.6863980136,988.6130371094,41.9932386493,34.3591079712,0.8848435283
2012,1,2,5,30,0,0,0,-4,9.3322944638,988.6804199219,38.3434421525,46.0103530884,0.7598020434
2012,1,2,6,30,0,0,0,-2,8.9875347844,989.0614624023,44.2108988813,66.1662063599,0.6298071742
2012,1,2,7,30,0,0,0,-3,9.8928730521,989.4476928711,38.1533286217,82.5273590088,0.3840830922
2012,1,2,8,30,88,204,127,-2,12.9715212253,990.3972167969,33.9874600997,131.0845489502,0.2535286546
2012,1,2,9,30,152,450,316,0,15.5187773585,991.5971679688,33.5814730633,170.3155822754,0.3134316802
2012,1,2,10,30,175,606,479,1,18.9724337245,991.6635131836,30.0258942806,212.5800170898,0.3311927617
2012,1,2,11,30,195,677,595,1,22.2811277538,990.7420654297,24.7933227829,247.4789581299,0.6632147431
2012,1,2,12,30,193,696,631,1,23.2641142274,989.7485961914,23.3761054159,262.0168762207,0.8968862295
2012,1,2,13,30,199,688,619,0,23.3408557648,989.09375,22.0772650866,272.6242675781,0.9574899673
2012,1,2,14,30,185,641,530,0,22.635325586,988.3849487305,21.2825958373,280.7161865234,1.0336433649
2012,1,2,15,30,154,542,381,-1,21.1531624877,988.1719360352,21.2847706835,290.5828857422,1.0716958046
2012,1,2,16,30,111,335,197,0,18.4247124177,988.0747680664,27.7502557265,307.184387207,1.2435829639
2012,1,2,17,30,10,0,10,0,16.304705702,988.3331298828,31.6067406957,321.4077758789,1.5429998636
2012,1,2,18,30,0,0,0,-4,15.3795146574,988.9348754883,25.8375493432,330.4491577148,1.6917988062
2012,1,2,19,30,0,0,0,-3,14.5839655022,989.67578125,29.1724933403,336.9526672363,1.7203702927
2012,1,2,20,30,0,0,0,-5,13.872906082,989.8237304688,25.9488709233,349.4660644531,1.7238526344
2012,1,2,21,30,0,0,0,-3,13.2230941072,989.8320922852,30.0075823047,3.2876434326,1.7284202576
2012,1,2,22,30,0,0,0,-5,12.6402375621,989.721862793,27.2917633725,14.2549133301,1.7379366159
2012,1,2,23,30,0,0,0,-4,12.0526395724,988.9727783203,32.070678482,25.0751571655,1.7416495085
2012,1,3,0,30,0,0,0,-5,11.5157742763,988.2120361328,29.5996695019,39.7179031372,1.7776790857
2012,1,3,1,30,0,0,0,-3,11.0138866629,987.5980834961,35.1510411971,56.2346038818,1.9214025736
2012,1,3,2,30,0,0,0,-5,10.5389866115,987.471862793,32.6326891291,66.1891479492,2.0010488033
2012,1,3,3,30,0,0,0,-3,10.0738158706,987.0809326172,39.3636045131,69.3788604736,1.9643108845
2012,1,3,4,30,0,0,0,-4,9.6366051128,987.2102050781,36.7217738633,70.8743972778,1.9675110579
2012,1,3,5,30,0,0,0,-2,9.2635970638,987.634765625,42.2343526925,75.3572845459,2.0131204128
2012,1,3,6,30,0,0,0,-4,8.9112829907,988.0546875,37.9828180078,81.9519348145,2.0187089443
2012,1,3,7,30,0,0,0,-3,9.7757004756,988.5637817383,39.6444484041,90.0076141357,1.9554202557
2012,1,3,8,30,89,226,132,-1,12.7080007609,989.6145019531,36.7703386029,100.0344009399,1.8101046085
2012,1,3,9,30,142,488,320,0,15.4004310844,990.2892456055,36.0138670462,108.6599502563,1.4256362915
2012,1,3,10,30,176,590,472,2,18.9040053343,990.1217041016,32.8245803152,107.1919174194,1.0006260872
2012,1,3,11,30,194,672,592,1,22.1374757777,989.1580200195,25.4308060478,82.4995040894,0.5250902772
2012,1,3,12,30,226,647,634,1,23.2312077055,987.7952270508,23.248395873,18.6229171753,0.3764754534
2012,1,3,13,30,301,332,505,0,23.3616307849,987.0990600586,21.6602276799,352.5518188477,0.6151255369
2012,1,3,14,30,224,559,527,0,22.740046236,986.0844116211,20.75305909,348.5428771973,0.7247987986
2012,1,3,15,30,167,516,384,-2,21.3237240397,985.6119995117,20.7498364876,353.7838134766,0.8132708669
2012,1,3,16,30,114,302,192,1,18.5114193916,985.8826904297,31.6724898901,0.5707855225,1.0363090038
2012,1,3,17,30,16,0,16,0,16.6216535177,986.37109375,33.3576493133,11.2085723877,1.2648476362
2012,1,3,18,30,0,0,0,-3,15.7969636401,986.4832763672,26.5532670367,30.9117622375,1.3662105799
2012,1,3,19,30,0,0,0,-2,15.0942931995,986.6806030273,30.3633464213,53.5047988892,1.4910422564
2012,1,3,20,30,0,0,0,-3,14.4718047788,986.9808959961,28.242087915,68.077255249,1.8328975439
2012,1,3,21,30,0,0,0,-2,13.8576498758,986.7534179688,31.4512772621,77.1014938354,2.2532536983
2012,1,3,22,30,0,0,0,-3,13.2953906754,986.2957763672,30.3833500489,84.1960830688,2.6007990837
2012,1,3,23,30,0,0,0,-2,12.7509944179,985.9481201172,34.959255549,90.092124939,2.8443343639
2012,1,4,0,30,0,0,0,-3,12.2816693326,985.6535644531,34.032793796,95.8723831177,2.9503185749
2012,1,4,1,30,0,0,0,-2,11.8251416662,985.7727661133,36.6070119826,101.4303817749,2.9421379566
2012,1,4,2,30,0,0,0,-2,11.3637264774,985.4828491211,38.8903570508,106.6179122925,2.8580858707
2012,1,4,3,30,0,0,0,-1,10.918859978,985.1161499023,40.931810878,111.8300323486,2.825302124
2012,1,4,4,30,0,0,0,-1,10.5400859967,984.9041748047,42.7487621007,117.2408905029,2.887172699
