Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed
2011,1,1,0,30,0,0,0,0,12.7354650665,989.3218383789,39.5281697694,31.9291534424,4.1804008484
2011,1,1,1,30,0,0,0,0,12.3460185335,989.0014038086,40.1224780987,30.0100898743,4.1377367973
2011,1,1,2,30,0,0,0,0,12.2267673833,988.6165161133,40.7197235431,25.7542037964,3.9935584068
2011,1,1,3,30,0,0,0,0,11.996622473,988.4057006836,41.4237173086,20.6516494751,3.9113941193
2011,1,1,4,30,0,0,0,0,11.4954170918,988.2219238281,41.9785615408,17.0176315308,3.9017529488
2011,1,1,5,30,0,0,0,-3,8.1290318452,986.6831665039,43.9264799152,86.497795105,1.2643305063
2011,1,1,6,30,0,0,0,-3,7.7867492947,986.8890991211,45.0946343791,98.9901809692,1.268617034
2011,1,1,7,30,0,0,0,-3,8.7151472264,987.6789550781,43.1444046862,116.5029144287,1.1940619946
2011,1,1,8,30,87,224,130,0,11.7743970673,988.5374145508,43.9583769833,135.8571624756,1.109515667
2011,1,1,9,30,134,525,326,0,14.5455683621,989.1719360352,39.1821962825,156.8533935547,0.8580214381
2011,1,1,10,30,144,693,491,2,18.3236598314,989.3345336914,33.7309520416,211.9803161621,0.1375619322
2011,1,1,11,30,156,752,600,2,20.7143058387,989.0639038086,29.6647636177,333.3454284668,0.9233266115
2011,1,1,12,30,173,779,662,2,21.4956824701,987.9861450195,27.7372460793,335.4392700195,1.5748938322
2011,1,1,13,30,170,768,639,1,21.5527133883,987.3365478516,26.5459009049,341.2557678223,2.0336883068
2011,1,1,14,30,159,723,547,0,20.9429420565,987.1215209961,26.1255837941,345.4885559082,2.2945287228
2011,1,1,15,30,132,625,393,0,19.6864217665,986.8796386719,26.6275951541,349.2526855469,2.3799986839
2011,1,1,16,30,103,395,204,0,17.4467481784,987.2681274414,30.2404178514,353.8584594727,2.3006765842
2011,1,1,17,30,10,0,10,0,15.1393542102,987.4498901367,35.2526796278,359.7357177734,2.1521501541
2011,1,1,18,30,0,0,0,-1,14.3536443294,987.8167114258,34.6570422769,4.9326858521,1.8692018986
2011,1,1,19,30,0,0,0,-1,13.6139689816,988.1357421875,35.5880336855,7.2950363159,1.4441390038
2011,1,1,20,30,0,0,0,-1,12.963957346,988.2056884766,37.0752052036,10.5221862793,1.0784634352
2011,1,1,21,30,0,0,0,-1,12.314828713,987.6113891602,38.9825019591,17.2039871216,0.7791478038
2011,1,1,22,30,0,0,0,-1,11.6907269499,987.0023803711,40.6609282229,27.2430953979,0.5695120692
2011,1,1,23,30,0,0,0,-1,11.0732429016,986.0798339844,42.3410157448,38.0680160522,0.4077303708
2011,1,2,0,30,0,0,0,-1,10.4830131944,985.4782104492,43.9839215917,38.3828239441,0.2437999845
2011,1,2,1,30,0,0,0,-1,9.9254923973,985.0971069336,45.654930166,349.1912841797,0.1488367468
2011,1,2,2,30,0,0,0,-1,9.4148474102,984.9922485352,47.1552681313,307.0506896973,0.4836235046
2011,1,2,3,30,0,0,0,-1,8.8996198254,985.1215209961,48.5281234824,305.3587646484,0.8903238177
2011,1,2,4,30,0,0,0,-1,8.4198156435,985.0785522461,49.7105982713,305.1596374512,1.1403602362
2011,1,2,5,30,0,0,0,-1,7.9824660125,985.4586791992,51.0278406428,304.2166442871,1.1446524858
2011,1,2,6,30,0,0,0,-1,7.5913728586,986.2992553711,52.3008586258,295.5845336914,0.9822722077
2011,1,2,7,30,0,0,0,-1,8.4749237631,986.8825073242,50.1931982497,273.1390380859,0.884767592
2011,1,2,8,30,85,87,102,0,11.6464557339,987.7282104492,43.4778572669,233.8955688477,0.7557501793
2011,1,2,9,30,171,59,193,1,14.3764281615,988.3641967773,42.7701976896,199.5202941895,0.7715287805
2011,1,2,10,30,235,62,267,3,17.9402200603,988.5213623047,37.5194872471,194.0533599854,0.6203020811
2011,1,2,11,30,285,240,427,3,20.9615780257,987.9631958008,30.8136492049,234.6858215332,0.2073694617
2011,1,2,12,30,228,645,634,2,22.1113304493,987.1343383789,28.3300156858,354.0534057617,0.1440572441
2011,1,2,13,30,161,751,620,2,22.4129200657,986.6849975586,26.6810912338,31.0533638,0.5082088709
2011,1,2,14,30,148,727,540,1,21.8871926253,986.4643554688,26.1470743392,30.5515327454,0.7705776691
2011,1,2,15,30,135,609,390,0,20.4920407021,986.4959106445,26.9452563271,30.3630065918,0.8754389286
2011,1,2,16,30,98,426,208,2,17.9371191364,986.6365356445,35.7826655126,35.2789916992,0.9186024666
2011,1,2,17,30,12,0,12,1,15.6582405546,987.2764892578,37.0008749368,41.4594078064,0.9539951682
2011,1,2,18,30,0,0,0,0,14.8224691298,988.064453125,34.2015254558,51.3107948303,0.9658159018
2011,1,2,19,30,0,0,0,0,14.100631282,988.8434448242,35.8080926013,65.8166351318,0.9295135736
2011,1,2,20,30,0,0,0,0,13.3776402237,988.909362793,37.4731401808,79.5568313599,1.147159934
2011,1,2,21,30,0,0,0,0,12.6771196895,988.6644897461,39.1129300356,89.1771392822,1.4806551933
2011,1,2,22,30,0,0,0,0,11.9878680208,988.3731079102,41.0601337826,97.192565918,1.7617950439
