date,Wind Speed,Temperature,Pressure,Relative Humidity,Wind Direction,Dew Point,Solar Radiation
2011-06-11 09:00:00,4.849697113,38.6387506154,972.212890625,35.511212888,230.289749145,20,608
2011-06-11 10:00:00,4.6615114212,41.3281508443,971.81451416,28.0470390859,231.099975586,19,765
2011-06-11 11:00:00,4.5458927155,43.5900850338,971.318176269,22.4865213775,233.357849121,17,871
2011-06-11 12:00:00,4.5229501724,45.1516209894,970.597229004,18.8985004747,235.13394165,16,914
2011-06-11 13:00:00,4.5959982872,45.8805945412,969.992919922,16.8842314891,236.703353882,14,888
2011-06-11 14:00:00,4.6499853134,45.8652120286,969.425598144,15.9187354606,238.845748901,14,797
2011-06-11 15:00:00,4.6561255455,45.1666906766,968.887634277,15.9808786388,241.377365112,13,650
2011-06-11 16:00:00,4.6117062569,43.8001088587,968.445922852,16.9432719311,244.261764526,13,467
2011-06-11 17:00:00,4.5500769615,41.9303275277,968.118591309,18.78945719,245.924972534,13,270
2011-06-11 18:00:00,4.4056572914,39.9720862764,968.404602051,21.4592894617,243.716049194,13,78
2011-06-11 19:00:00,4.3664569855,38.4633175808,968.950927734,24.5310135856,234.682678223,14,0
2011-06-11 20:00:00,4.8016667366,37.3715210937,969.709533691,28.0170196959,224.84841919,15,0
2011-06-11 21:00:00,5.159137249,36.2354125977,970.23815918,33.0941710505,217.950195312,17,0
2011-06-11 22:00:00,5.3303084373,34.9441622364,970.829589844,40.3189714891,213.947418213,19,0
2011-06-11 23:00:00,5.5310797691,33.6658598257,970.66809082,48.6168621835,212.979766846,21,0
2011-06-12 00:00:00,5.676759243,32.4875619629,970.15222168,55.463098556,213.701156616,22,0
2011-06-12 01:00:00,5.6450724602,31.4602832392,970.093078613,60.4797295413,214.372344971,22,0
2011-06-12 02:00:00,5.5399703979,30.6922232892,969.997558594,63.6224705838,214.39440918,23,0
2011-06-12 03:00:00,5.2963781357,30.1666168368,970.273986816,65.6684694928,214.240127563,23,0
2011-06-12 04:00:00,4.9078760147,29.786245192,970.794128418,67.2167043461,214.150115967,23,0
2011-06-12 05:00:00,4.604411602,29.7033437523,971.622802734,67.4974882418,214.267242432,23,0
2011-06-12 06:00:00,4.5300831795,30.9280613166,972.480895996,62.4794120751,215.291656494,22,46
2011-06-12 07:00:00,4.461274147,33.0098595812,973.348876953,54.7208483939,216.865158081,22,221
2011-06-12 08:00:00,4.0793814659,35.1356480104,973.746398926,47.4949923328,217.427230835,22,418
2011-06-12 09:00:00,3.6472096443,36.7533678319,974.049804688,42.332751255,216.881118774,21,629
2011-06-12 10:00:00,3.3486847878,37.6700184555,973.721313477,39.5551319642,216.206954956,21,782
2011-06-12 11:00:00,3.0865790844,38.5144147726,973.252685547,36.8345835495,216.740631103,21,884
2011-06-12 12:00:00,2.8373849392,39.2655685739,972.658325195,34.5993218964,219.245681763,20,926
2011-06-12 13:00:00,2.6677544117,39.8702847702,971.948120117,32.5107695171,222.591949463,20,888
2011-06-12 14:00:00,2.4785699844,40.2292231236,971.471008301,30.939024085,226.59866333,19,797
2011-06-12 15:00:00,2.3292942047,40.325476116,971.216613769,29.7220179737,231.402816772,19,651
2011-06-12 16:00:00,2.2474217415,39.6700532378,971.235778809,29.9766944252,236.13218689,18,467
2011-06-12 17:00:00,2.3205690384,38.3781929785,971.33972168,31.5803903352,237.791305542,18,271
2011-06-12 18:00:00,2.5567955971,36.7809448049,971.671142578,34.5017592556,233.763687134,18,79
2011-06-12 19:00:00,3.0787584782,35.5156231938,972.348815918,38.2120499865,223.854431152,19,0
2011-06-12 20:00:00,3.7930104733,34.644159112,972.970581055,41.4234910989,215.313095093,19,0
2011-06-12 21:00:00,4.2595543861,33.5098768676,973.743957519,47.6766676029,211.074966431,20,0
2011-06-12 22:00:00,4.579240799,32.3235169446,973.864257812,55.1473002647,209.850692749,22,0
2011-06-12 23:00:00,4.8756742477,31.132102878,973.757385254,61.3834225412,211.099761963,22,0
2011-06-13 00:00:00,4.8433337212,30.1519539312,973.422607422,65.9427781044,213.183319092,23,0
2011-06-13 01:00:00,4.6694073677,29.475489425,973.368835449,69.2421054751,216.012939453,23,0
2011-06-13 02:00:00,4.4248275757,28.9752897807,973.065002441,71.8063695113,218.369186401,23,0
2011-06-13 03:00:00,4.1407170296,28.5927604363,973.247253418,73.7356655888,220.27746582,23,0
2011-06-13 04:00:00,3.858682394,28.2671408939,973.921630859,75.7503618902,220.685775757,23,0
2011-06-13 05:00:00,3.6003522873,28.2184671732,974.453552246,76.2674427152,219.795013428,23,0
2011-06-13 06:00:00,3.5182516575,29.6702235516,974.967651367,69.7068787483,221.356506348,23,42
2011-06-13 07:00:00,3.2628669739,32.0685618133,975.14074707,59.5496184583,223.898971558,23,212
2011-06-13 08:00:00,2.9962027073,34.4849563305,975.28527832,50.9712051441,226.77079773,22,418
2011-06-13 09:00:00,2.7728853226,36.6617163473,975.09777832,44.2009957705,228.69064331,22,629
2011-06-13 10:00:00,2.7337691784,38.2942070646,974.49029541,39.5647501162,229.197433472,22,782
2011-06-13 11:00:00,2.7787928581,39.1872124357,973.636230469,36.8875294942,229.317062378,21,883
2011-06-13 12:00:00,3.009008646,39.5102349999,972.9765625,35.6029289346,230.505432129,21,923
2011-06-13 13:00:00,3.3237326145,38.3978608479,972.417541504,37.1833828433,233.303344727,21,899
2011-06-13 14:00:00,3.3471124172,37.6005327562,972.431396484,38.7945322644,236.982772827,21,813
2011-06-13 15:00:00,3.2567737103,36.58315003,972.188232422,41.0652765514,240.035339355,21,673
2011-06-13 16:00:00,3.1650090218,35.7472918883,972.450195312,43.0446707986,240.028518677,21,468
2011-06-13 17:00:00,3.1081116199,34.8172928873,972.641723633,45.2877345787,235.017196655,21,271
2011-06-13 18:00:00,3.0765585899,33.6849615019,972.865661621,48.8585741916,228.848999023,21,80
2011-06-13 19:00:00,3.1872889996,32.656231294,973.008361816,53.3558679506,224.423858643,21,0
2011-06-13 20:00:00,3.3533303738,31.8381657443,973.269104004,56.6201398865,222.55557251,22,0
2011-06-13 21:00:00,3.4911355972,30.9790490564,973.723083496,60.5657518978,221.15725708,22,0
2011-06-13 22:00:00,3.643964529,30.2346287775,973.708801269,64.6423894828,221.774078369,22,0
2011-06-13 23:00:00,3.8861265182,29.4765404516,973.853271484,69.0446003701,223.947967529,23,0
2011-06-14 00:00:00,4.1425652504,28.8132045364,973.497192383,73.2723223202,226.358016968,23,0
2011-06-14 01:00:00,4.326145649,28.268711756,973.410339356,76.8321328652,228.426040649,23,0
2011-06-14 02:00:00,4.4576945305,27.8837410054,973.528625488,79.5441243762,230.362182617,24,0
2011-06-14 03:00:00,4.4546060562,27.5908379599,973.817321777,81.7725323567,232.954574585,24,0
2011-06-14 04:00:00,4.2964186668,27.3005547568,974.173645019,83.6523670873,235.182617188,24,0
2011-06-14 05:00:00,4.082783699,27.2993674243,974.669799805,83.9686585215,235.191741943,24,0
2011-06-14 06:00:00,4.1830801964,28.629770704,975.332641602,77.2980431959,234.846374512,24,45
2011-06-14 07:00:00,4.2472243309,30.7486114752,975.62109375,67.3552613913,235.651672363,24,216
2011-06-14 08:00:00,4.0161967278,33.1362859314,975.355773926,57.7093585394,234.925506592,23,417
2011-06-14 09:00:00,3.733476162,35.243581226,974.951049805,50.2336253849,233.907897949,23,628
2011-06-14 10:00:00,3.6083123684,37.1450012736,974.33203125,43.9058476567,234.805801392,22,781
2011-06-14 11:00:00,3.5572645664,38.8271651716,973.960144043,38.4117099941,238.269424438,22,883
2011-06-14 12:00:00,3.6394736767,40.3043173634,973.029968262,33.9546654222,242.624450684,21,924
2011-06-14 13:00:00,3.7817685604,41.1423071625,972.524414062,31.2315218847,245.980560303,20,900
2011-06-14 14:00:00,3.756418705,41.2264192201,971.84387207,30.8249982548,249.702423096,20,814
2011-06-14 15:00:00,3.4912638664,40.5385322543,971.341369629,31.7444159085,253.094741821,20,646
2011-06-14 16:00:00,3.1141784191,39.2148398616,971.092407227,34.2446153177,253.655807495,20,465
2011-06-14 17:00:00,2.8237876892,37.5620181442,971.368713379,37.8293053431,247.250869751,20,272
2011-06-14 18:00:00,2.9928827286,35.8570100052,971.647949219,42.6520769323,235.985519409,21,81
2011-06-14 19:00:00,3.5367717743,34.5071953415,972.10546875,47.3756489738,231.283050537,21,0
2011-06-14 20:00:00,4.04286623,33.3649133758,972.407470703,51.3208821207,231.224807739,21,0
2011-06-14 21:00:00,4.4316887856,32.3405209776,972.854125977,55.5204097068,231.347564697,22,0
2011-06-14 22:00:00,4.7119336128,31.4714246858,972.959106445,59.3855228132,231.22996521,22,0
2011-06-14 23:00:00,4.8268580437,30.7559273854,972.928710938,62.6073065562,231.591598511,22,0
2011-06-15 00:00:00,4.8468894958,30.1288293581,972.703186035,65.534353647,232.304351807,22,0
2011-06-15 01:00:00,4.8606929779,29.505083595,972.690002441,68.487681733,232.887145996,23,0
2011-06-15 02:00:00,5.0006418228,28.8959557518,972.776489258,71.5243345508,230.993972778,23,0
2011-06-15 03:00:00,5.016453743,28.3770558689,972.625427246,74.0290029249,228.013885498,23,0
2011-06-15 04:00:00,4.9080123901,27.8997514451,972.57434082,76.4428246149,224.372741699,23,0
2011-06-15 05:00:00,4.7995786667,27.6859344278,972.923034668,77.9836542273,221.267074585,23,0
2011-06-15 06:00:00,4.9103221893,28.7760128165,973.397094727,73.5459391865,220.233963013,23,53
